name,number,location,manufacturer,updated_location,round
OWEN GARDNER,#296,"IdahoFalls, ID",Kawasaki,Idaho,
ALEX GATT,#74,"Penticton, BR",Triumph,British Columbia,
ADAM GAUTHIER,#138,"Chapleau, ON",Yamaha,Ontario,
SAM GAYNOR,#28,"Flesherton, ON",Husqvarna,Ontario,
EASTON GENEST,#117,"Saskatoon, SK",Husqvarna,Saskatchewan,
TEREN GERBER,#482,"Calgary, AB",Yamaha,Alberta,
NATHAN GERMAIN,#46,"Stoneham, QC",KTM,Quebec,
TYLER GIBBS,#22,"Abbotsford, BR",Yamaha,British Columbia,
THOR GIESBRECHT,#154,"Aylmer, ON",Yamaha,Ontario,
THALY GIRARD,#14,"Lepiphanie, QC",Husqvarna,Quebec,
JEROME GODBOUT,#177,"Saint-Calixte, QC",Husqvarna,Quebec,
JESSE GODFREY,#128,"Grantsville, WE",Gas Gas,West Virginia,
KYLE GONZALEZ,#435,"Croswell, MI",KTM,Michigan,
RAPHAEL GOSSELIN,#188,"Saint-Leonard-de-Por, QC",Husqvarna,Quebec,
ALEXANDRE GOUGEON,#886,"st-lin-laurentides, QC",KTM,Quebec,
MADYSON GRALEWICZ,#66,"Rockland, ON",KTM,Ontario,
BOBBY GRAVEL,#700,"FAUQUIER, ON",Kawasaki,Ontario,
DAWSON GRAVELLE,#819,"LouisCreek, BR",Triumph,British Columbia,
CODY GROVES,#315,"GOLDSBOROR,",Kawasaki,North Carolina,
MICAH GRUBBS,#323,"Chardon, OH",KTM,Ohio,
ALEK GUADAGNO,#427,"Lc-Brome, QC",Yamaha,Quebec,
IZACK GUADAGNO,#90,"Lac-Brome, QC",Yamaha,Quebec,
CALEB HALL,#561,"Oswego, NE",KTM,New York,
HAYDEN HALSTEAD,#610,"Waterford, ON",Yamaha,Ontario,
AUSTIN HAMBURGUR,#532,"Hatley, WI",Kawasaki,Wisconsin,
DEREK HAMM,#136,"Ridgetown, ON",KTM,Ontario,
MEGAN HAMM,#86,"OakBluff, MB",Kawasaki,Manitoba,
TALAN HANSEN,#328,"Kingsford, MI",Triumph,Michigan,
JAMES HARRINGTON,#59,"Hanover, MA",Yamaha,Massachusetts,
MATTHEW HARROD,#171,"Belleville, ON",Yamaha,Ontario,
WYATT HASIL,#94,"Langdon, AB",Yamaha,Alberta,
LEXI HELGASON,#76,"LakeEcho, NO",Gas Gas,Nova Scota,
ISAAC HENDERSON,#345,"StAugustine, FL",KTM,Florida,
JAMES HENSHAW,#763,"Hamilton, NE",Yamaha,New Jersey,
NIKO HOLMES,#212,"Chatham, ON",KTM,Ontario,
SETH HUGHES,#132,", ON",Honda,Ontario,
BRYANT HUMISTON,#88,"Rocksprings, WY",Kawasaki,Wyoming,
LANDON HUNT,#387,"SaultSteMarie, ON",Husqvarna,Ontario,
NICHOLAS INMAN,#55,"Chillicothe, IL",Honda,Illinois,
MATTHEW JACKSON,#630,"COLUMBIACROSSROADS, PA",Triumph,Pennsylvania,
JEFFREYJ JACOBS,#511,"Enfield, CT",Honda,Connecticut,
HAYDEN JAMESON,#147,"Woodstock, ON",Husqvarna,Ontario,
BROOKE JOHNSON,#121,"UpperBrookside, NO",Triumph,Nova Scotia,
CHARLIE JOHNSTON,#125,"Calgary, AB",Kawasaki,Alberta,
EMERSON JUDGE,#228,"Thorndale, ON",KTM,Ontario,
KAYLIE KAYER,#3,"Savona, BR",Triumph,British Columbia,
BRANDON KEENE,#105,"Plympton, MA",KTM,Massachusetts,
COLE KELLY,#631,"Greenwood, BR",KTM,British Columbia,
WYATT KERR,#64,", ON",Gas Gas,Ontario,
PRESTON KILROY,#1,"Afton, WY",Yamaha,Wyoming,
SARAH KIM,#241,",",KTM,Quebec,
AUSTIN KING,#946,"LewisLake, NO",KTM,Nova Scotia,
JESSE KIRCHMEYER,#421,"Arcade, NE",KTM,New York,
KAES KNIGHTS,#550,"Bewdley, ON",KTM,Ontario,
NATHAN KNOX,#211,"RockyView, AB",Gas Gas,Alberta,
KIANA KURTZ,#94,"Ariss, ON",Husqvarna,Ontario,
JASMIN LACLARE,#19,"Maidstone, SK",Yamaha,Saskatchewan,
ZACHARY LAHMAN,#252,"Martinsburg, WE",Yamaha,West Virginia,
MATHILDE LAMBERT,#198,"Lavaltrie, QC",KTM,Quebec,
BRODIE LANGILL,#746,"Pugwash, NO",Gas Gas,Nova Scotia,
TJ LANPHEAR,#507,"Preston, CT",KTM,Connecticut,
NATHEN LAPORTE,#139,"Oshkosh, WI",Yamaha,Wisconsin,
MARC-HUGO LAVOIE,#247,"LIslet, QC",KTM,Quebec,
HARLEY LAWSON,#250,"Calgary, AB",KTM,Alberta,
REESE LAWSON,#910,"Calgary, AB",KTM,Alberta,
ANTHONY LEBEL,#515,"Nicolet, QC",KTM,Quebec,
JADON LEHTONEN,#828,"Tiny, ON",Yamaha,Ontario,
MAELIE LEMIEUX,#77,"Boisbriand, QC",KTM,Quebec,
JOSH LONG,#792,"Brantford, ON",Stark,Ontario,
JERRY LORENZ,#42,"Morrice, MI",KTM,Michigan,
TYLER LOUD,#655,"Catskill, NE",KTM,New York,
CASS LOUTITT,#761,"Calgary, AB",KTM,Alberta,
TYLER LOWE,#86,"MenomoneeFalls, WI",Yamaha,Wisconsin,
JASON LUTTON,#354,"Whisperingpines, NO",Yamaha,North Carolina,
JAMIESON MACDONALD,#161,"Grafton, ON",Husqvarna,Ontario,
MARSHALL MACINTYRE,#802,"Southwick, ON",Kawasaki,Ontario,
DUNCAN MACLEOD,#411,"Portfranks, ON",Yamaha,Ontario,
CARSON MAINQUIST,#191,"HASLET, TX",KTM,Texas,
BRITTANI MAJCHER,#6,"Preston, CT",Honda,Connecticut,
